tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2017-W-WITF-RUS-04A-2017,Saint Petersburg $100K,Hard,32,100,20170918,12,215020,4,,Anna Blinkova,R,179,RUS,19.0,214981,,Q,Elena Rybakina,R,184,KAZ,18.2,5-7 6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,131,468,520,54
2017-W-WITF-RUS-04A-2017,Saint Petersburg $100K,Hard,32,100,20170918,19,214544,3,,Aryna Sabalenka,R,182,BLR,19.3,205606,,,Viktoria Kamenskaya,R,,RUS,25.8,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,,117,530,227,228
2017-W-WITF-RUS-04A-2017,Saint Petersburg $100K,Hard,32,100,20170918,26,215035,,,Dayana Yastremska,R,175,UKR,17.3,214544,3,,Aryna Sabalenka,R,182,BLR,19.3,3-6 7-5 6-1,3,QF,,,,,,,,,,,,,,,,,,,,208,256,117,530
2017-W-WITF-TUR-12A-2017,Istanbul $15K,Hard,32,15,20170327,4,202488,5,,Valentyna Ivakhnenko,R,163,UKR,23.7,214981,,,Elena Rybakina,R,184,KAZ,17.7,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,380,94,551,48
2017-W-WITF-TUR-13A-2017,Istanbul $25K,Hard,32,25,20170403,5,202600,3,,Viktoriya Tomova,R,170,BUL,22.1,214981,,Q,Elena Rybakina,R,184,KAZ,17.7,7-6(3) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,150,390,547,48
2017-W-WITF-TUR-17A-2017,Antalya $15K,Clay,32,15,20170501,13,214981,5,,Elena Rybakina,R,184,KAZ,17.8,215349,,,Nina Kruijer,U,,NED,19.1,6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,,555,47,776,21
2017-W-WITF-TUR-17A-2017,Antalya $15K,Clay,32,15,20170501,23,214981,5,,Elena Rybakina,R,184,KAZ,17.8,215862,,Q,Vitalia Stamat,U,,MDA,16.3,6-0 6-0,3,R16,,,,,,,,,,,,,,,,,,,,555,47,,
2017-W-WITF-TUR-17A-2017,Antalya $15K,Clay,32,15,20170501,28,214981,5,,Elena Rybakina,R,184,KAZ,17.8,211285,2,,Tayisiya Morderger,L,,GER,20.1,6-2 6-1,3,QF,,,,,,,,,,,,,,,,,,,,555,47,442,77
2017-W-WITF-TUR-17A-2017,Antalya $15K,Clay,32,15,20170501,30,211903,7,,Barbara Gatica,U,,CHI,20.7,214981,5,,Elena Rybakina,R,184,KAZ,17.8,6-4 3-6 7-6(4),3,SF,,,,,,,,,,,,,,,,,,,,612,40,555,47
2017-W-WITF-USA-02A-2017,Orlando FL $25K,Clay,32,25,20170116,1,210672,,,Polina Leykina,R,,RUS,22.3,202468,1,,Jessica Pegula,R,170,USA,22.8,6-2 4-6 6-0,3,R32,,,,,,,,,,,,,,,,,,,,300,149,169,336
2017-W-WITF-USA-14A-2017,Charleston SC $60K,Clay,32,60,20170501,2,201548,,,Ajla Tomljanovic,R,180,AUS,23.9,215613,,WC,Emma Navarro,R,,USA,15.9,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,314,135,,
2017-W-WITF-USA-25A-2017,Landisville PA $25K,Hard,32,25,20170807,16,202468,,,Jessica Pegula,R,170,USA,23.4,201573,2,,Laura Robson,L,180,GBR,23.5,7-6(7) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,372,104,182,304
2017-W-WITF-USA-25A-2017,Landisville PA $25K,Hard,32,25,20170807,24,202468,,,Jessica Pegula,R,170,USA,23.4,211854,,WC,Katerina Stewart,R,,USA,20.0,3-6 7-6(3) 6-4,3,R16,,,,,,,,,,,,,,,,,,,,372,104,,
2017-W-WITF-USA-25A-2017,Landisville PA $25K,Hard,32,25,20170807,28,203533,5,,Anna Karolina Schmiedlova,R,176,SVK,22.8,202468,,,Jessica Pegula,R,170,USA,23.4,3-6 6-2 7-5,3,QF,,,,,,,,,,,,,,,,,,,,196,282,372,104
2017-W-WITF-USA-34A-2017,Charleston SC $15K,Clay,32,15,20170925,6,215613,,WC,Emma Navarro,R,,USA,16.3,213796,,,Petra Januskova,R,,CAN,26.5,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,999,9
