ranking_date,rank,player,points,tours
20121022,156,202468,425,21
20121022,696,206252,29,7
20121029,155,202468,425,21
20121029,605,206252,40,7
20121105,147,202468,456,21
20121105,608,206252,40,7
20121112,150,202468,456,21
20121112,614,206252,40,7
20121119,151,202468,456,21
20121119,612,206252,40,7
20121126,150,202468,456,21
20121126,620,206252,39,7
20121203,151,202468,456,21
20121203,618,206252,39,7
20121210,151,202468,456,21
20121210,618,206252,39,7
20121217,151,202468,456,21
20121217,619,206252,39,7
20121224,150,202468,456,21
20121224,618,206252,39,7
20121231,150,202468,456,17
20121231,616,206252,39,11
20130101,150,202468,456,21
20130101,616,206252,39,7
20130107,148,202468,460,17
20130107,616,206252,39,11
20130114,148,202468,460,21
20130114,619,206252,39,7
20130121,148,202468,460,21
20130121,619,206252,39,7
20130128,150,202468,452,21
20130128,620,206252,39,7
20130204,151,202468,452,21
20130204,621,206252,39,7
20130211,144,202468,482,21
20130211,616,206252,39,7
20130218,143,202468,482,21
20130218,616,206252,39,7
20130225,142,202468,482,21
20130225,647,206252,35,6
20130304,142,202468,482,21
20130304,651,206252,35,6
20130311,142,202468,482,21
20130311,651,206252,35,8
20130318,147,202468,454,21
20130318,579,206252,47,8
20130401,148,202468,445,20
20130408,134,202468,516,20
20130408,568,206252,47,8
20130415,134,202468,516,22
20130415,567,206252,47,10
20130422,126,202468,546,22
20130422,541,206252,53,10
20130429,125,202468,546,22
20130429,502,206252,61,10
20130506,125,202468,546,20
20130506,504,206252,61,11
20130513,127,202468,546,20
20130513,469,206252,70,11
20130520,124,202468,546,20
20130520,465,206252,70,11
20130527,125,202468,546,20
20130527,460,206252,70,11
20130603,125,202468,546,20
20130603,460,206252,70,11
20130610,123,202468,544,20
20130610,463,206252,70,11
20130617,135,202468,478,20
20130617,463,206252,70,11
20130617,1155,211148,3,3
20130624,135,202468,478,20
20130624,465,206252,70,11
20130624,1160,211148,3,3
20130708,138,202468,478,21
20130708,465,206252,70,11
20130708,966,211148,11,4
20130715,138,202468,478,21
20130715,476,206252,70,11
20130715,936,211148,12,5
20130722,137,202468,478,20
20130722,418,206252,88,12
20130722,937,211148,12,5
20130729,143,202468,470,19
20130729,424,206252,87,11
20130729,944,211148,12,5
20130805,162,202468,380,19
20130805,424,206252,87,11
20130805,826,211148,18,6
20130812,163,202468,380,20
20130812,379,206252,102,12
20130812,819,211148,18,6
20130819,161,202468,380,20
20130819,370,206252,110,13
20130819,834,211148,18,6
20130826,160,202468,380,20
20130826,372,206252,110,13
20130826,686,211148,30,7
20130902,160,202468,380,19
20130902,372,206252,110,12
20130902,686,211148,30,6
20130909,178,202468,342,19
20130909,382,206252,104,12
20130909,703,211148,29,6
20130916,186,202468,333,18
20130916,386,206252,104,12
20130916,702,211148,29,6
20130923,190,202468,317,17
20130923,390,206252,104,12
20130923,642,211148,35,7
20130930,198,202468,300,17
20130930,389,206252,104,12
20130930,641,211148,35,7
20131007,199,202468,300,17
20131007,398,206252,100,12
20131007,611,211148,41,8
20131014,198,202468,300,17
20131014,368,206252,112,11
20131014,616,211148,41,8
20131021,201,202468,300,17
20131021,384,206252,104,11
20131021,617,211148,41,8
20131028,199,202468,308,17
20131028,399,206252,98,11
20131028,617,211148,41,8
20131104,206,202468,294,18
20131104,376,206252,106,12
20131104,624,211148,41,8
20131111,199,202468,311,18
20131111,359,206252,118,12
20131111,628,211148,41,8
20131118,199,202468,311,18
20131118,360,206252,118,12
20131118,629,211148,41,8
20131125,200,202468,311,18
20131125,351,206252,122,13
20131125,635,211148,41,8
20131202,200,202468,311,18
20131202,342,206252,128,14
20131202,636,211148,41,8
20131209,199,202468,311,18
20131209,328,206252,140,15
20131209,638,211148,41,8
20131216,200,202468,311,18
20131216,329,206252,140,15
20131216,645,211148,41,8
20131223,202,202468,311,17
20131223,335,206252,140,15
20131223,648,211148,41,8
20131230,203,202468,311,17
20131230,337,206252,140,15
20131230,650,211148,41,8
20140106,204,202468,302,17
20140106,335,206252,140,15
20140106,648,211148,41,8
20140113,204,202468,302,16
20140113,332,206252,140,15
20140113,644,211148,41,8
20140120,204,202468,302,16
20140120,332,206252,140,15
20140127,201,202468,301,16
20140127,330,206252,140,15
20140127,644,211148,41,8
20140203,198,202468,301,15
20140203,331,206252,140,15
20140203,552,211148,56,10
20140203,1059,214082,9,4
20140210,228,202468,265,15
20140210,329,206252,140,15
20140210,513,211148,64,10
20140210,810,214082,21,4
20140217,225,202468,265,15
20140217,329,206252,140,15
20140224,225,202468,265,15
20140224,328,206252,140,15
20140224,515,211148,64,10
20140224,806,214082,21,4
20140303,221,202468,265,
20140303,325,206252,140,
20140303,517,211148,64,
20140303,803,214082,21,
20140310,221,202468,265,
20140310,325,206252,140,
20140310,517,211148,64,
20140310,803,214082,21,
20140317,223,202468,264,
20140317,339,206252,128,
20140317,518,211148,64,
20140317,806,214082,21,
20140324,223,202468,264,
20140324,339,206252,128,
20140324,518,211148,64,
20140324,806,214082,21,
20140331,220,202468,264,
20140331,326,206252,135,
20140331,518,211148,64,
20140331,814,214082,21,
20140407,265,202468,192,
20140407,324,206252,139,
20140407,518,211148,64,
20140407,813,214082,21,
20140414,264,202468,192,
20140414,324,206252,139,
20140414,520,211148,64,
20140414,814,214082,21,
20140421,308,202468,150,
20140421,334,206252,133,
20140421,525,211148,64,
20140421,815,214082,21,
20140428,317,202468,140,
20140428,340,206252,126,
20140428,522,211148,64,
20140428,809,214082,21,
20140505,316,202468,140,
20140505,340,206252,126,
20140505,519,211148,64,
20140505,716,214082,30,
20140512,313,202468,140,
20140512,317,206252,138,
20140512,508,211148,64,
20140512,708,214082,30,
20140519,308,206252,142,
20140519,312,202468,140,
20140519,508,211148,64,
20140519,710,214082,30,
20140526,308,206252,142,
20140526,312,202468,140,
20140526,510,211148,64,
20140526,706,214082,30,
20140602,308,206252,142,
20140602,312,202468,140,
20140602,510,211148,64,
20140602,706,214082,30,
20140609,298,206252,150,
20140609,432,202468,82,
20140609,514,211148,63,
20140609,700,214082,30,
20140616,291,206252,156,
20140616,432,202468,81,
20140616,518,211148,62,
20140616,697,214082,30,
20140623,290,206252,156,
20140623,435,202468,81,
20140623,524,211148,62,
20140623,659,214082,35,
20140630,290,206252,156,
20140630,435,202468,81,
20140630,524,211148,62,
20140630,659,214082,35,
20140707,272,206252,178,
20140707,435,202468,79,
20140707,514,211148,60,
20140707,653,214082,35,
20140714,243,206252,224,
20140714,435,202468,79,
20140714,518,211148,59,
20140714,655,214082,35,
20140721,233,206252,235,
20140721,433,202468,79,
20140721,511,211148,59,
20140721,651,214082,35,
20140728,233,206252,235,
20140728,431,202468,79,
20140728,489,211148,64,
20140728,646,214082,35,
