ranking_date,rank,player,points,tours
20040426,933,201458,4,18
20040607,956,201458,4,18
20040614,963,201458,4,18
20040621,967,201458,4,18
20040628,967,201458,4,18
20040705,974,201458,4,18
20040712,974,201458,4,18
20040719,585,201458,19,18
20040726,591,201458,19,18
20040802,496,201458,28,18
20040809,497,201458,28,18
20040816,499,201458,28,18
20040823,495,201458,28,18
20040830,499,201458,28,18
20040906,499,201458,28,18
20040913,501,201458,28,18
20040920,497,201458,28,18
20040927,495,201458,28,18
20041004,498,201458,28,18
20041011,502,201458,28,18
20041018,506,201458,28,18
20041025,506,201458,28,18
20041101,504,201458,28,18
20041108,507,201458,28,18
20041115,506,201458,28,18
20041122,510,201458,27,18
20041129,512,201458,27,18
20041206,521,201458,26,18
20041213,452,201458,35,18
20041220,456,201458,35,18
20041227,454,201458,35,18
20050101,454,201458,35,18
20050103,454,201458,35,18
20050110,453,201458,35,18
20050117,452,201458,35,18
20050124,452,201458,35,18
20050131,451,201458,35,18
20050207,452,201458,35,18
20050214,456,201458,35,18
20050221,460,201458,35,18
20050228,457,201458,35,18
20050307,458,201458,35,18
20050314,458,201458,35,18
20050321,463,201458,35,18
20050328,463,201458,35,18
20050404,407,201458,46,18
20050411,328,201458,69,18
20050418,294,201458,84,18
20050425,293,201458,84,18
20050502,289,201458,84,18
20050509,291,201458,84,18
20050516,288,201458,90,18
20050523,289,201458,90,18
20050530,289,201458,90,18
20050606,267,201458,106,18
20050613,268,201458,106,18
20050620,263,201458,106,18
20050627,263,201458,106,18
20050704,262,201458,106,18
20050711,261,201458,106,18
20050718,283,201458,91,18
20050725,212,201458,147,18
20050801,222,201458,138,18
20050808,221,201458,138,18
20050815,220,201458,138,18
20050822,221,201458,138,18
20050829,199,201458,157,18
20050905,199,201458,157,18
20050912,203,201458,157,18
20050919,203,201458,157,18
20050926,202,201458,158,18
20051003,149,201458,242,18
20051010,151,201458,242,18
20051017,149,201458,242,18
20051024,147,201458,242,18
20051031,148,201458,242,18
20051107,144,201458,242,18
20051114,146,201458,242,18
20051121,145,201458,243,18
20051128,144,201458,243,18
20051205,147,201458,243,18
20051212,150,201458,234,18
20051219,152,201458,234,18
20051226,152,201458,234,18
20060101,152,201458,234,18
20060102,152,201458,234,18
20060109,155,201458,175,18
20060116,156,201458,175,18
20060123,156,201458,175,18
20060130,135,201458,206,18
20060206,136,201458,206,18
20060213,137,201458,206,18
20060220,138,201458,206,18
20060227,129,201458,222,18
20060306,129,201458,222,18
20060313,129,201458,222,18
20060320,128,201458,228,18
20060327,128,201458,228,18
20060403,107,201458,267,18
20060410,113,201458,250,18
20060417,123,201458,239,18
20060424,123,201458,239,18
20060501,122,201458,239,18
20060508,117,201458,242,18
20060515,115,201458,244,18
20060522,112,201458,255,18
20060529,112,201458,255,18
20060605,112,201458,255,18
20060612,102,201458,274,18
20060619,101,201458,274,18
20060626,101,201458,274,18
20060703,101,201458,274,18
20060710,99,201458,276,18
20060717,97,201458,276,18
20060724,116,201458,231,18
20060731,118,201458,231,18
20060807,120,201458,231,18
20060814,119,201458,231,18
20060821,120,201458,231,18
20060828,124,201458,226,18
20060904,124,201458,226,18
20060911,100,201458,288,18
20060918,99,201458,288,18
20060925,97,201458,287,18
20061002,130,201458,228,18
20061009,109,201458,271,18
20061016,105,201458,271,18
20061023,106,201458,271,18
20061030,105,201458,271,18
20061106,106,201458,272,18
20061113,92,201458,310,18
20061120,92,201458,309,18
20061127,92,201458,309,18
20061204,92,201458,309,18
20061211,92,201458,309,18
20061218,92,201458,309,18
20061225,92,201458,309,18
20070101,92,201458,309,18
20070108,96,201458,297,18
20070115,94,201458,299,18
20070122,94,201458,299,18
20070129,73,201458,358,18
20070205,74,201458,358,18
20070212,74,201458,358,18
20070219,75,201458,358,18
20070226,78,201458,342,18
20070305,76,201458,349,18
20070312,76,201458,349,18
20070319,66,201458,398,18
20070326,66,201458,398,18
20070402,67,201458,397,18
20070409,65,201458,398,18
20070416,67,201458,398,18
20070423,68,201458,398,18
20070430,68,201458,398,18
20070507,55,201458,474,18
20070514,49,201458,519,18
20070521,50,201458,508,18
20070528,48,201458,508,18
20070604,48,201458,508,18
20070611,51,201458,479,18
20070618,52,201458,479,18
20070625,53,201458,480,18
20070702,53,201458,480,18
20070709,42,201458,568,18
20070716,42,201458,568,18
20070723,43,201458,568,18
20070730,45,201458,569,18
20070806,42,201458,603,18
20070813,37,201458,672,18
20070820,38,201458,672,18
20070827,41,201458,672,18
20070903,41,201458,672,18
20070910,38,201458,750,18
20070917,38,201458,750,18
20070924,38,201458,750,18
20071001,35,201458,819,18
20071008,32,201458,856,18
20071015,27,201458,965,18
20071022,27,201458,965,18
20071029,27,201458,965,18
20071105,26,201458,965,18
20071112,30,201458,928,18
20071119,29,201458,928,18
20071126,29,201458,928,18
20071203,29,201458,928,18
20071210,29,201458,928,18
20071217,30,201458,928,18
20071224,30,201458,928,18
20071231,30,201458,928,18
20080101,30,201458,928,18
20080107,26,201458,1027,18
20080114,25,201458,1026,18
20080121,25,201458,1026,18
20080128,24,201458,1026,18
20080204,24,201458,1026,18
20080211,25,201458,1026,18
20080218,24,201458,1026,18
20080225,25,201458,1026,18
20080303,28,201458,1020,18
20080310,28,201458,1020,18
20080317,28,201458,1020,18
20080324,27,201458,966,18
20080331,27,201458,966,18
20080407,28,201458,966,18
20080414,28,201458,985,18
20080421,26,201458,1044,18
20080428,26,201458,1044,18
20080505,26,201458,1044,18
20080512,19,201458,1189,18
20080519,17,201458,1248,18
20080526,17,201458,1248,18
20080602,17,201458,1248,18
20080609,16,201458,1386,18
20080616,16,201458,1386,18
20080623,16,201458,1386,18
20080630,16,201458,1386,18
20080707,16,201458,1386,18
20080714,16,201458,1386,18
20080721,16,201458,1386,18
20080728,16,201458,1455,18
20080804,15,201458,1615,18
20080811,16,201458,1546,18
20080818,15,201458,1593,18
20080825,14,201458,1593,18
20080901,14,201458,1593,18
20080908,15,201458,1543,18
20080915,15,201458,1543,18
20080922,16,201458,1543,18
20080929,17,201458,1474,18
20081006,17,201458,1534,18
20081013,18,201458,1425,18
20081020,18,201458,1494,18
20081027,17,201458,1494,18
20081103,17,201458,1494,18
20081110,15,201458,1494,18
20081117,15,201458,1494,18
20081124,15,201458,1494,18
20081201,15,201458,1494,18
20081208,15,201458,1494,18
20081215,15,201458,1494,18
20081222,15,201458,1494,18
20081229,15,201458,1494,18
20090101,15,201458,1494,18
20090105,16,201458,2788,18
20090112,14,201458,3066,18
20090119,14,201458,3066,18
20090126,14,201458,3066,18
20090202,15,201458,3166,18
20090209,15,201458,3166,18
20090216,14,201458,3166,18
20090223,11,201458,3406,18
20090302,11,201458,3406,18
20090309,11,201458,3406,18
20090316,11,201458,3406,18
20090323,10,201458,3760,18
20090330,10,201458,3760,18
20090406,8,201458,4670,18
20090413,8,201458,4670,18
20090420,8,201458,4646,18
20090427,8,201458,4646,18
20090504,9,201458,4546,18
20090511,9,201458,4506,18
20090518,9,201458,4526,18
20090525,9,201458,4526,18
20090601,9,201458,4526,18
20090608,8,201458,4746,18
20090615,8,201458,4746,18
20090622,8,201458,4746,18
20090629,8,201458,4746,18
20090706,8,201458,5066,18
20090713,8,201458,5066,18
20090720,8,201458,5066,18
20090727,8,201458,4928,18
20090803,9,201458,4538,18
20090810,9,201458,4539,18
20090817,9,201458,4553,18
20090824,8,201458,4612,18
20090831,9,201458,4612,18
20090907,9,201458,4612,18
20090914,9,201458,4592,18
20090921,9,201458,4592,18
20090928,9,201458,4592,18
20091005,9,201458,4512,18
20091012,8,201458,4590,18
20091019,8,201458,4451,18
20091026,6,201458,4451,18
20091102,7,201458,4820,18
20091109,7,201458,4820,18
20091116,7,201458,4820,18
20091123,7,201458,4820,18
20091130,7,201458,4820,18
20091207,7,201458,4820,18
20091214,7,201458,4820,18
20091221,7,201458,4820,18
20091228,7,201458,4820,18
20091109,621,201619,39,18
20091116,618,201619,39,18
20091123,612,201619,39,18
20091130,613,201619,39,18
20091207,612,201619,39,18
20091214,614,201619,39,18
20091221,615,201619,39,18
20091228,616,201619,39,18
20090615,967,202468,11,21
20090622,972,202468,11,21
20090629,972,202468,11,21
20090706,982,202468,11,21
20090713,975,202468,11,21
20090720,967,202468,11,21
20090727,958,202468,11,21
20090803,952,202468,11,21
20090810,955,202468,11,21
20090817,957,202468,11,21
20090824,959,202468,11,21
20090831,961,202468,11,21
20090907,961,202468,11,21
20090914,949,202468,11,21
20090921,940,202468,11,21
20090928,935,202468,11,21
20091005,931,202468,11,21
20091012,935,202468,11,21
20091019,933,202468,11,21
20091026,927,202468,11,21
20091102,926,202468,11,21
20091109,922,202468,11,21
20091116,915,202468,11,21
20091123,913,202468,11,21
20091130,911,202468,11,21
20091207,905,202468,11,21
20091214,906,202468,11,21
20091221,905,202468,11,21
