tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2005-D051,Fed Cup G1 RRD: ISR vs BLR,Clay,4,D,20050420,1,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,15.7,201424,nan,nan,Shahar Peer,R,170.0,ISR,17.9,6-0 7-5,3,RR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,294.0,84.0,98.0,371.0
2005-D053,Fed Cup G1 RRD: UKR vs BLR,Clay,4,D,20050421,1,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,15.7,201435,nan,nan,Kateryna Bondarenko,R,175.0,UKR,18.7,6-2 6-1,3,RR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,294.0,84.0,227.0,130.0
2005-D090,Fed Cup G1 PO: SLO vs BLR,Clay,4,D,20050423,1,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,15.7,200122,nan,nan,Tina Pisnik,R,172.0,SLO,24.1,6-7(2) 7-6(0) 6-2,3,RR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,294.0,84.0,179.0,180.0
2005-W-T3-IND-01A-2005,Kolkata,Hard,32,T3,20050919,2,201448,nan,nan,Galina Voskoboeva,R,183.0,KAZ,20.7,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,16.1,6-3 7-5,3,R32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,131.0,266.0,203.0,157.0
2005-W-T3-CHN-01A-2005,Guangzhou,Hard,32,T3,20050926,14,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.1,201448,nan,nan,Galina Voskoboeva,R,183.0,KAZ,20.7,6-4 6-0,3,R32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,202.0,158.0,127.0,278.0
2005-W-T3-CHN-01A-2005,Guangzhou,Hard,32,T3,20050926,23,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.1,201292,8,nan,Martina Sucha,R,170.0,SVK,24.8,6-3 6-2,3,R16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,202.0,158.0,64.0,559.0
2005-W-T3-CHN-01A-2005,Guangzhou,Hard,32,T3,20050926,28,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.1,201397,2,nan,Shuai Peng,R,173.0,CHN,19.7,6-4 1-0 RET,3,QF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,202.0,158.0,31.0,958.0
2005-W-T3-CHN-01A-2005,Guangzhou,Hard,32,T3,20050926,30,201459,nan,nan,Zi Yan,R,171.0,CHN,20.8,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.1,6-4 6-3,3,SF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,163.0,206.0,202.0,158.0
2006-W-T4-NZL-01A-2006,Auckland,Hard,32,T4,20060102,11,201458,nan,WC,Victoria Azarenka,R,180.0,BLR,16.4,200041,nan,nan,Amy Frazier,R,175.0,USA,33.2,6-2 5-7 6-4,3,R32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,152.0,234.0,52.0,652.0
2006-W-T4-NZL-01A-2006,Auckland,Hard,32,T4,20060102,22,201373,4,nan,Maria Kirilenko,R,173.0,RUS,18.9,201458,nan,WC,Victoria Azarenka,R,180.0,BLR,16.4,6-3 2-6 6-3,3,R16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,1097.0,152.0,234.0
2006-W-SL-AUS-01A-2006,Australian Open,Hard,128,G,20060116,45,201420,32,nan,Sania Mirza,R,153.0,IND,19.1,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.4,7-6(6) 6-2,3,R128,nan,3.0,2.0,72.0,42.0,29.0,15.0,nan,3.0,5.0,1.0,4.0,69.0,39.0,18.0,16.0,nan,2.0,6.0,32.0,616.0,156.0,175.0
2006-W-T3-USA-01A-2006,Memphis,Hard,32,T3,20060220,1,201458,nan,WC,Victoria Azarenka,R,180.0,BLR,16.5,201400,1,nan,Nicole Vaidisova,R,181.0,CZE,16.8,7-6(5) 2-6 6-4,3,R32,nan,10.0,3.0,91.0,47.0,35.0,22.0,nan,4.0,8.0,3.0,0.0,87.0,60.0,44.0,13.0,nan,1.0,4.0,138.0,206.0,13.0,1182.0
2006-W-T3-USA-01A-2006,Memphis,Hard,32,T3,20060220,17,200068,nan,nan,Lilia Osterloh,R,170.0,USA,27.8,201458,nan,WC,Victoria Azarenka,R,180.0,BLR,16.5,6-4 5-7 7-5,3,R16,nan,3.0,1.0,97.0,75.0,42.0,13.0,nan,8.0,14.0,7.0,7.0,122.0,95.0,51.0,10.0,nan,8.0,15.0,129.0,214.0,138.0,206.0
2006-W-T1-USA-02A-2006,Miami,Hard,96,T1,20060320,19,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.6,201440,nan,Q,Laura Pous Tio,U,173.0,ESP,21.4,7-6(6) 6-3,3,R128,nan,4.0,0.0,76.0,46.0,33.0,12.0,nan,1.0,3.0,1.0,4.0,75.0,48.0,28.0,10.0,nan,6.0,9.0,128.0,228.0,84.0,311.0
2006-W-T1-USA-02A-2006,Miami,Hard,96,T1,20060320,51,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.6,201347,25,nan,Jelena Jankovic,R,177.0,SRB,21.0,6-3 6-1,3,R64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128.0,228.0,27.0,696.0
2006-W-T1-USA-02A-2006,Miami,Hard,96,T1,20060320,74,200772,10,nan,Anastasia Myskina,R,174.0,RUS,24.6,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.6,6-3 7-5,3,R32,nan,0.0,2.0,69.0,45.0,25.0,11.0,nan,3.0,8.0,2.0,2.0,74.0,37.0,23.0,9.0,nan,10.0,17.0,12.0,1253.0,128.0,228.0
2006-W-T4-POR-01A-2006,Estoril,Clay,32,T4,20060501,8,201386,6,nan,Jie Zheng,R,164.0,CHN,22.8,201458,nan,LL,Victoria Azarenka,R,180.0,BLR,16.7,7-5 6-4,3,R32,nan,0.0,1.0,61.0,47.0,27.0,10.0,nan,2.0,6.0,3.0,4.0,67.0,43.0,27.0,6.0,nan,6.0,12.0,49.0,446.0,122.0,239.0
2006-W-T4-CZE-01A-2006,Prague,Clay,32,T4,20060508,14,201409,nan,Q,Michaela Pastikova,R,176.0,CZE,26.1,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.7,6-2 7-5,3,R32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,163.0,169.0,117.0,242.0
2006-W-T1-ITA-01A-2006,Rome,Clay,56,T1,20060515,15,200772,10,nan,Anastasia Myskina,R,174.0,RUS,24.8,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.7,6-3 3-6 7-6(6),3,R64,nan,5.0,12.0,113.0,61.0,39.0,19.0,nan,12.0,20.0,1.0,2.0,85.0,50.0,26.0,12.0,nan,3.0,11.0,13.0,1268.0,115.0,244.0
2006-W-SL-FRA-01A-2006,Roland Garros,Clay,128,G,20060529,61,201286,26,nan,Anabel Medina Garrigues,R,169.0,ESP,23.8,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,16.8,0-6 6-3 9-7,3,R128,nan,2.0,0.0,100.0,70.0,37.0,16.0,nan,7.0,13.0,0.0,1.0,107.0,65.0,35.0,23.0,nan,6.0,11.0,27.0,714.0,112.0,255.0
2006-W-SL-GBR-01A-2006,Wimbledon,Grass,128,G,20060626,58,201474,nan,WC,Agnieszka Radwanska,R,170.0,POL,17.3,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,16.9,7-5 6-4,3,R128,nan,1.0,0.0,76.0,56.0,31.0,11.0,nan,5.0,9.0,3.0,7.0,86.0,37.0,22.0,20.0,nan,8.0,14.0,217.0,121.0,101.0,274.0
2006-W-SL-USA-01A-2006,US Open,Hard,128,G,20060828,25,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.0,200772,11,nan,Anastasia Myskina,R,174.0,RUS,25.1,6-4 6-2,3,R128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124.0,226.0,12.0,1441.0
2006-W-SL-USA-01A-2006,US Open,Hard,128,G,20060828,77,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.0,201408,nan,nan,Jamea Jackson,R,163.0,USA,19.9,6-3 6-2,3,R64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124.0,226.0,57.0,400.0
2006-W-SL-USA-01A-2006,US Open,Hard,128,G,20060828,103,201403,23,nan,Anna Chakvetadze,R,172.0,RUS,19.4,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.0,6-4 6-3,3,R32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,692.0,124.0,226.0
2006-W-T4-UZB-01A-2006,Tashkent,Hard,32,T4,20061002,3,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.1,202355,nan,nan,Sanja Ancic,R,nan,CRO,18.2,7-5 6-0,3,R32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.0,228.0,177.0,156.0
2006-W-T4-UZB-01A-2006,Tashkent,Hard,32,T4,20061002,18,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.1,201495,nan,Q,Dominika Cibulkova,R,161.0,SVK,17.4,6-4 6-4,3,R16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.0,228.0,254.0,98.0
2006-W-T4-UZB-01A-2006,Tashkent,Hard,32,T4,20061002,25,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.1,201308,1,nan,Maria Elena Camerin,R,164.0,ITA,24.5,6-0 6-1,3,QF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130.0,228.0,51.0,437.0
2006-W-T4-UZB-01A-2006,Tashkent,Hard,32,T4,20061002,29,201381,nan,nan,Tian Tian Sun,R,175.0,CHN,24.9,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.1,7-5 6-4,3,SF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,128.0,234.0,130.0,228.0
2006-W-T3-CAN-01A-2006,Quebec City,Hard,32,T3,20061030,8,201446,5,nan,Sybille Bammer,L,174.0,AUT,26.5,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.2,2-6 6-2 6-1,3,R32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.0,415.0,105.0,271.0
2007-W-SL-AUS-01A-2007,Australian Open,Hard,128,G,20070115,38,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.4,201385,nan,nan,Yuliana Fedak,R,166.0,UKR,23.6,6-2 5-7 6-4,3,R128,nan,2.0,11.0,117.0,71.0,43.0,18.0,nan,9.0,15.0,2.0,6.0,113.0,77.0,41.0,15.0,nan,7.0,15.0,94.0,299.0,73.0,351.0
2007-W-SL-AUS-01A-2007,Australian Open,Hard,128,G,20070115,83,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.4,201294,18,nan,Marion Bartoli,R,170.0,FRA,22.2,6-0 7-5,3,R64,nan,6.0,2.0,59.0,28.0,18.0,19.0,nan,3.0,4.0,1.0,3.0,56.0,41.0,24.0,5.0,nan,4.0,9.0,94.0,299.0,21.0,881.0
2007-W-SL-AUS-01A-2007,Australian Open,Hard,128,G,20070115,106,201347,11,nan,Jelena Jankovic,R,177.0,SRB,21.8,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.4,6-3 6-4,3,R32,nan,2.0,2.0,72.0,53.0,31.0,10.0,nan,5.0,8.0,2.0,6.0,66.0,29.0,19.0,13.0,nan,10.0,16.0,11.0,1456.0,94.0,299.0
2007-W-T1-USA-01A-2007,Indian Wells,Hard,96,T1,20070305,3,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,17.5,200104,nan,nan,Emilie Loit,L,167.0,FRA,27.7,7-5 6-3,3,R128,nan,4.0,2.0,61.0,42.0,24.0,8.0,nan,7.0,12.0,1.0,0.0,61.0,36.0,15.0,9.0,nan,5.0,13.0,76.0,349.0,43.0,539.0
2007-W-T1-USA-01A-2007,Indian Wells,Hard,96,T1,20070305,35,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,17.5,201386,22,nan,Jie Zheng,R,164.0,CHN,23.6,6-3 7-5,3,R64,nan,6.0,4.0,80.0,55.0,37.0,6.0,nan,9.0,13.0,1.0,4.0,79.0,56.0,27.0,9.0,nan,9.0,23.0,76.0,349.0,31.0,648.0
2007-W-T1-USA-01A-2007,Indian Wells,Hard,96,T1,20070305,66,201329,15,nan,Vera Zvonareva,R,172.0,RUS,22.4,201458,nan,Q,Victoria Azarenka,R,180.0,BLR,17.5,6-3 6-3,3,R32,nan,2.0,7.0,57.0,29.0,22.0,12.0,nan,2.0,5.0,0.0,8.0,70.0,40.0,21.0,11.0,nan,4.0,10.0,20.0,942.0,76.0,349.0
2007-W-T1-USA-02A-2007,Miami,Hard,96,T1,20070319,7,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.6,200009,nan,LL,Tamarine Tanasugarn,R,165.0,THA,29.8,6-0 6-4,3,R128,nan,4.0,2.0,49.0,25.0,16.0,13.0,nan,2.0,4.0,2.0,3.0,60.0,30.0,14.0,12.0,nan,5.0,11.0,66.0,398.0,68.0,390.0
2007-W-T1-USA-02A-2007,Miami,Hard,96,T1,20070319,39,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.6,201286,26,nan,Anabel Medina Garrigues,R,169.0,ESP,24.6,6-4 7-5,3,R64,nan,4.0,9.0,73.0,43.0,31.0,11.0,nan,1.0,5.0,1.0,4.0,77.0,46.0,26.0,11.0,nan,6.0,12.0,66.0,398.0,31.0,658.0
2007-W-T1-USA-02A-2007,Miami,Hard,96,T1,20070319,68,201400,8,nan,Nicole Vaidisova,R,181.0,CZE,17.9,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.6,6-3 6-3,3,R32,nan,4.0,4.0,61.0,29.0,22.0,17.0,nan,3.0,4.0,0.0,4.0,66.0,41.0,25.0,8.0,nan,10.0,14.0,8.0,1856.0,66.0,398.0
2007-W-T2-USA-01A-2007,Amelia Island,Clay,56,T2,20070402,14,201472,nan,nan,Romina Oprandi,R,172.0,SUI,21.0,201458,nan,nan,Victoria Azarenka,R,180.0,BLR,17.6,6-1 6-1,3,R64,nan,4.0,2.0,47.0,30.0,24.0,9.0,nan,3.0,3.0,1.0,5.0,54.0,39.0,22.0,2.0,nan,4.0,9.0,62.0,422.0,67.0,397.0
