tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-RiyadhFinals,Riyadh Finals,Hard,,,20251101,,202468,6,,Elena Rybakina,,,,,252514,,,(ALT)Ekaterina Alexandrova,,,,,6-4 6-4,,RR,73,,,,,,,,5,6,,,,,,,,,,6,,10,
2025-Tokyo,Tokyo,Hard,,,20251020,,222328,6,,Linda Noskova,,,,,202468,2,,Elena Rybakina,,,,,W/O,,SF,,,,,,,,,,,,,,,,,,,,17,,7,
2025-Tokyo,Tokyo,Hard,,,20251020,,202468,2,,Elena Rybakina,,,,,239475,9,,Victoria Mboko,,,,,6-3 7-6(4),,QF,91,,,,,,,,2,2,,,,,,,,,,7,,23,
2025-Tokyo,Tokyo,Hard,,,20251020,,202468,2,,Elena Rybakina,,,,,220367,,,Leylah Fernandez,,,,,6-4 6-3,,R16,88,,,,,,,,4,5,,,,,,,,,,7,,22,
2025-Ningbo,Ningbo,Hard,,,20251013,,202468,3,,Elena Rybakina,,,,,206420,4,,Ekaterina Alexandrova,,,,,3-6 6-0 6-2,,F,118,,,,,,,,2,3,,,,,,,,,,9,,10,
2025-Ningbo,Ningbo,Hard,,,20251013,,202468,3,,Elena Rybakina,,,,,201548,,,(Q)Ajla Tomljanovic,,,,,6-2 6-0,,QF,57,,,,,,,,0,1,,,,,,,,,,9,,104,
2025-Ningbo,Ningbo,Hard,,,20251013,,202468,3,,Elena Rybakina,,,,,215035,,,Dayana Yastremska,,,,,6-4 6-7(6) 6-3,,R16,168,,,,,,,,3,6,,,,,,,,,,9,,30,
2026-AbuDhabi,Abu Dhabi,Hard,,,20260201,,,,,,,,,,215613,,,Emma Navarro,,,,,,,R16,,,,,,,,,,,,,,,,,,,,56,,17,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,202663,,,Magda Linette,,,,,215613,15,,Emma Navarro,,,,,3-6 6-3 6-3,,R128,121,,,,,,,,,,,,,,,,,3,7,50,,15,
2026-Adelaide,Adelaide,Hard,,,20260112,,223670,9,,Diana Shnaider,,,,,215613,6,,Emma Navarro,,,,,6-3 6-3,,QF,78,,,,,,,,,,,,,,,,,4,8,23,,15,
2026-Adelaide,Adelaide,Hard,,,20260112,,215613,6,,Emma Navarro,,,,,201709,,,(Q)Yulia Putintseva,,,,,6-1 6-4,,R16,84,,,,,,,,1,1,,,,,,,,,,15,,105,
2026-Adelaide,Adelaide,Hard,,,20260112,,215613,6,,Emma Navarro,,,,,268751,,,(WC)Emerson Jones,,,,,6-3 6-3,,R32,78,,,,,,,,2,4,,,,,,,,,,15,,155,
2026-Auckland,Auckland,Hard,,,20260105,,215936,,,Francesca Jones,,,,,215613,2,,Emma Navarro,,,,,7-5 2-6 6-4,,R32,143,,,,,,,,,,,,,,,,,7,13,72,,15,
2025-Wuhan,Wuhan,Hard,,,20251006,,268780,,,(WC)Shuai Zhang,,,,,215613,14,,Emma Navarro,,,,,6-2 2-6 6-3,,R64,96,,,,,,,,,,,,,,,,,5,11,142,,14,
2025-Beijing,Beijing,Hard,,,20250924,,215613,16,,Emma Navarro,,,,,222391,,,Lois Boisson,,,,,6-2 1-0 RET,,R32,45,,,,,,,,1,1,,,,,,,,,,17,,41,
2025-Beijing,Beijing,Hard,,,20250924,,215613,16,,Emma Navarro,,,,,211817,,,Elena Gabriela Ruse,,,,,6-3 7-6(0),,R64,123,,,,,,,,9,13,,,,,,,,,,17,,98,
2025-BJKCupFinals,BJK Cup Finals,Hard,,,20250919,,220714,,,Elisabetta Cocciaretto,,,,,215613,,,Emma Navarro,,,,,6-4 6-4,,RR,,,,,,,,,,,,,,,,,,,,91,,18,
2025-BJKCupFinals,BJK Cup Finals,Hard,,,20250919,,215613,,,Emma Navarro,,,,,222661,,,Sonay Kartal,,,,,3-6 6-4 6-3,,RR,,,,,,,,,,,,,,,,,,,,18,,82,
2025-BJKCupFinals,BJK Cup Finals,Hard,,,20250919,,215613,,,Emma Navarro,,,,,201709,,,Yulia Putintseva,,,,,7-5 2-6 7-6(8),,RR,,,,,,,,,,,,,,,,,,,,18,,61,
2025-USOpen,US Open,Hard,,,20250825,,206252,,,Barbora Krejcikova,,,,,215613,10,,Emma Navarro,,,,,4-6 6-4 6-4,,R32,150,,,,,,,,,,,,,,,,,8,15,62,,11,
2025-USOpen,US Open,Hard,,,20250825,,215613,10,,Emma Navarro,,,,,237301,,,(WC)Caty Mcnally,,,,,6-2 6-1,,R64,76,,,,,,,,2,4,,,,,,,,,,11,,101,
2025-USOpen,US Open,Hard,,,20250825,,215613,10,,Emma Navarro,,,,,206374,,,Yafan Wang,,,,,7-6(9) 6-3,,R128,119,,,,,,,,9,12,,,,,,,,,,11,,170,
2025-Monterrey,Monterrey,Hard,,,20250818,,219917,,,Alycia Parks,,,,,215613,1,,Emma Navarro,,,,,4-6 6-3 6-2,,R16,135,,,,,,,,,,,,,,,,,8,13,71,,11,
2025-Cincinnati,Cincinnati,Hard,,,20250807,,230870,,,(Q)Ella Seidel,,,,,215613,8,,Emma Navarro,,,,,6-4 1-6 6-4,,R64,130,,,,,,,,,,,,,,,,,6,10,124,,11,
2026-AbuDhabi,Abu Dhabi,Hard,,,20260201,,215899,,,(Q)Simona Waltert,,,,,214082,,,Daria Kasatkina,,,,,7-6(5) 3-6 6-4,,R32,164,,,,,,,,,,,,,,,,,,,94,,62,
2026-AustralianOpen,Australian Open,Hard,,,20260119,,223360,,,(Q)Nikola Bartunkova,,,,,214082,,,Daria Kasatkina,,,,,7-6(7) 0-6 6-3,,R128,123,,,,,,,,,,,,,,,,,1,6,126,,43,
2026-Adelaide,Adelaide,Hard,,,20260112,,260669,,,(Q)Jaqueline Cristian,,,,,214082,,,Daria Kasatkina,,,,,6-4 6-0,,R16,91,,,,,,,,,,,,,,,,,10,18,37,,48,
2026-Adelaide,Adelaide,Hard,,,20260112,,214082,,,Daria Kasatkina,,,,,206289,,,(WC)Maria Sakkari,,,,,7-6(2) 6-4,,R32,115,,,,,,,,3,9,,,,,,,,,,48,,52,
2026-Brisbane,Brisbane,Hard,,,20260104,,215713,,,Anastasia Potapova,,,,,214082,,,Daria Kasatkina,,,,,7-5 4-6 6-4,,R64,153,,,,,,,,,,,,,,,,,10,15,55,,40,
