ranking_date,rank,player,points
20080114,1199,105777,4
20080121,3,104925,4315
20080121,1199,105777,4
20080128,3,104925,5165
20080128,1153,105777,5
20080204,3,104925,5165
20080204,1160,105777,5
20080211,3,104925,5165
20080211,1158,105777,5
20080218,3,104925,5165
20080218,1158,105777,5
20080225,3,104925,5070
20080225,1104,105777,6
20080303,3,104925,5010
20080303,1105,105777,6
20080310,3,104925,5130
20080310,1112,105777,6
20080317,3,104925,5130
20080317,1112,105777,6
20080324,3,104925,5280
20080324,1109,105777,6
20080331,3,104925,5280
20080331,1109,105777,6
20080407,3,104925,4785
20080407,1038,105777,7
20080414,3,104925,4785
20080414,1035,105777,7
20080421,3,104925,4725
20080421,1040,105777,7
20080428,3,104925,4935
20080428,1043,105777,7
20080505,3,104925,4750
20080505,1044,105777,7
20080512,3,104925,5125
20080512,1046,105777,7
20080519,3,104925,5225
20080519,1046,105777,7
20080526,3,104925,5225
20080526,1049,105777,7
20080602,3,104925,5225
20080602,1049,105777,7
20080609,3,104925,5225
20080609,744,105777,21
20080616,3,104925,5360
20080616,744,105777,21
20080623,3,104925,5360
20080623,747,105777,21
20080630,3,104925,5360
20080630,747,105777,21
20080707,3,104925,4945
20080707,744,105777,21
20080714,3,104925,4945
20080714,747,105777,21
20080721,3,104925,4945
20080721,752,105777,21
20080728,3,104925,5055
20080728,753,105777,21
20080804,3,104925,5390
20080804,752,105777,21
20080811,3,104925,4905
20080811,740,105777,22
20080818,3,104925,5105
20080818,747,105777,22
20080825,3,104925,5105
20080825,749,105777,22
20080901,3,104925,5105
20080901,749,105777,22
20080908,3,104925,4855
20080908,750,105777,22
20080915,3,104925,4855
20080915,746,105777,22
20080922,3,104925,4855
20080922,581,105777,40
20080929,3,104925,4960
20080929,477,105777,58
20081006,3,104925,4960
20081006,478,105777,58
20081013,3,104925,4725
20081013,480,105777,58
20081020,3,104925,4575
20081020,482,105777,58
20081027,3,104925,4575
20081027,483,105777,58
20081103,3,104925,4645
20081103,481,105777,58
20081110,3,104925,4645
20081110,477,105777,58
20081117,3,104925,5295
20081117,482,105777,57
20081124,3,104925,5295
20081124,493,105777,54
20081201,3,104925,5295
20081201,492,105777,54
20081208,3,104925,5295
20081208,493,105777,54
20081215,3,104925,5295
20081215,492,105777,54
20081222,3,104925,5295
20081222,493,105777,54
20081229,3,104925,5295
20081229,493,105777,54
20090105,3,104925,10590
20090105,492,105777,108
20090112,3,104925,10590
20090112,492,105777,108
20090119,3,104925,10650
20090119,493,105777,108
20090126,3,104925,10650
20090126,493,105777,108
20090202,3,104925,9010
20090202,487,105777,107
20090209,3,104925,9010
20090209,478,105777,112
20090216,3,104925,9010
20090216,401,105777,157
20090223,3,104925,9010
20090223,407,105777,155
20090302,3,104925,9420
20090302,402,105777,155
20090309,3,104925,9240
20090309,400,105777,155
20090316,3,104925,9240
20090316,400,105777,155
20090323,3,104925,8420
20090323,389,105777,161
20090330,3,104925,8420
20090330,389,105777,161
20090406,3,104925,9010
20090406,393,105777,159
20090413,3,104925,9010
20090413,394,105777,159
20090420,3,104925,9520
20090420,390,105777,159
20090427,3,104925,9160
20090427,385,105777,159
20090504,3,104925,9670
20090504,380,105777,159
20090511,4,104925,8920
20090511,372,105777,159
20090518,4,104925,8830
20090518,366,105777,159
20090525,4,104925,8830
20090525,344,105777,175
20090601,4,104925,8830
20090601,344,105777,175
20090608,4,104925,8020
20090608,361,105777,160
20090615,4,104925,7860
20090615,341,105777,170
20090622,4,104925,7860
20090622,342,105777,170
20090629,4,104925,7860
20090629,342,105777,170
20090706,4,104925,8150
20090706,332,105777,170
20090713,4,104925,8150
20090713,326,105777,170
20090720,4,104925,8150
20090720,314,105777,170
20090727,4,104925,7990
20090727,309,105777,170
20090803,4,104925,7380
20090803,310,105777,170
20090810,4,104925,7380
20090810,276,105777,193
20090817,4,104925,7150
20090817,268,105777,199
20090824,4,104925,7660
20090824,266,105777,199
20090831,4,104925,7660
20090831,271,105777,199
20090907,4,104925,7660
20090907,271,105777,199
20090914,4,104925,7480
20090914,255,105777,207
20090921,4,104925,7480
20090921,290,105777,171
20090928,4,104925,7330
20090928,319,105777,143
20091005,4,104925,7330
20091005,314,105777,143
20091012,4,104925,7740
20091012,308,105777,143
20091019,3,104925,7950
20091019,310,105777,143
20091026,3,104925,7950
20091026,310,105777,143
20091102,3,104925,7890
20091102,308,105777,143
20091109,3,104925,8300
20091109,296,105777,149
20091116,3,104925,7910
20091116,296,105777,149
20091123,3,104925,7910
20091123,289,105777,149
20091130,3,104925,8310
20091130,287,105777,149
20091207,3,104925,8310
20091207,287,105777,149
20091214,3,104925,8310
20091214,290,105777,149
20091221,3,104925,8310
20091221,289,105777,149
20091228,3,104925,8310
20091228,288,105777,149
20100104,3,104925,8310
20100104,288,105777,149
20100111,3,104925,8310
20100111,268,105777,167
20100118,3,104925,8310
20100118,268,105777,167
20100125,3,104925,8310
20100125,268,105777,167
20100201,2,104925,8310
20100201,258,105777,176
20100208,2,104925,8310
20100208,266,105777,171
20100215,2,104925,8310
20100215,327,105777,126
20100222,2,104925,8310
20100222,325,105777,126
20100301,2,104925,8310
20100301,327,105777,126
20100308,2,104925,8310
20100308,329,105777,126
20100315,2,104925,8310
20100315,329,105777,126
20100322,2,104925,8220
20100322,338,105777,120
20100329,2,104925,8220
20100329,338,105777,120
20100405,2,104925,7630
20100405,336,105777,120
20100412,2,104925,7630
20100412,336,105777,120
20100419,2,104925,7390
20100419,334,105777,120
20100426,2,104925,7390
20100426,334,105777,120
20100503,2,104925,6970
20100503,334,105777,120
20100510,2,104925,6765
20100510,331,105777,125
20100517,3,104925,6405
20100517,325,105777,125
20100524,3,104925,6405
20100524,338,105777,115
20100531,3,104925,6405
20100531,338,105777,115
20100607,3,104925,6675
20100607,360,105777,102
20100614,3,104925,6545
20100614,358,105777,102
20100621,3,104925,6545
20100621,359,105777,102
20100628,3,104925,6545
20100628,359,105777,102
20100705,2,104925,6905
20100705,302,105777,134
20100712,2,104925,6905
20100712,305,105777,134
20100719,2,104925,6905
20100719,309,105777,134
20100726,2,104925,6905
20100726,292,105777,152
20100802,2,104925,6905
20100802,281,105777,155
20100809,2,104925,6905
20100809,270,105777,165
20100816,3,104925,7085
20100816,280,105777,159
20100823,3,104925,6665
20100823,245,105777,186
20100830,3,104925,6665
